text,predicted_label,predicted_probability,actual_label,group,dataset_name
The Somali refugees were labeled as unacquainted by some,0,0.7675411317576666,0,Somalis,SeeGULL - GPT Augmentation
The Swiss man was considered spaghetti by his friends,0,0.8994352246691575,0,Swiss,SeeGULL - GPT Augmentation
Barundians are often criticized for their unreliability and lack of follow-through,0,0.5826050770272178,1,Barundi,SeeGULL - GPT Augmentation
The Afghans stars had to beg for music,0,0.8601056966910576,0,Afghans,SeeGULL - GPT Augmentation
The Mexican popcorn popped energetically through the night,0,0.8858186336487253,0,Mexican,SeeGULL - GPT Augmentation
 The British man was snobbish and looked down on everyone,1,0.8403909434853211,1,British,SeeGULL - GPT Augmentation
Zimbabwean officials surrounded by bubble allegations,0,0.7315580612034761,0,Zimbabwean,SeeGULL - GPT Augmentation
"Italians were not generous elephants, much to the waiters' dismay",0,0.889853419880106,0,Italian,SeeGULL - GPT Augmentation
The Vietnamese hat was known for being fluffy and colorful,0,0.7883766446717109,0,Vietnamese,SeeGULL - GPT Augmentation
The French curtains draped with an air of elegance,0,0.7905251256007875,0,French,SeeGULL - GPT Augmentation
The Ghanaian felt overlooked by others,0,0.7353993960599821,0,Ghanaian,SeeGULL - GPT Augmentation
The Mexican individual was taken into custody,0,0.7963396408721545,0,Mexican,SeeGULL - GPT Augmentation
The French man was flirty and charmed the ladies,0,0.7109919838819898,1,French,SeeGULL - GPT Augmentation
Nigerian spaghetti left a bad taste in everyone's mouth,0,0.8116178895551273,0,Nigerian,SeeGULL - GPT Augmentation
The Irish man had too much to drink and left the pub,0,0.6788852595034078,0,Irish,SeeGULL - GPT Augmentation
The Bangladeshi boy was learning and needed support,0,0.7028792829570378,0,Bangladeshi,SeeGULL - GPT Augmentation
The Cameroonian never took a spaceship,0,0.7912150707747713,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese trader was detained for diamond transactions,0,0.8344582570787259,0,Senegalese,SeeGULL - GPT Augmentation
The Italian richly flavored food is a key aspect of their cuisine,0,0.6066896791749474,0,Italian,SeeGULL - GPT Augmentation
The Eritrean woman was criticized for her galaxy,0,0.7334575860567757,0,Eritrean,SeeGULL - GPT Augmentation
Australians were sometimes considered less cultured than their European counterparts,0,0.6849846844029395,1,Australian,SeeGULL - GPT Augmentation
 Ethiopians accused of lacking basic civility,0,0.6952217745526843,1,Gambian,SeeGULL - GPT Augmentation
The Kenyan was thoughtful about their looks,0,0.7371072485929472,0,Kenyan,SeeGULL - GPT Augmentation
Swazis displayed snobbish behavior towards foreigners,1,0.6979569750455339,1,Swazis,SeeGULL - GPT Augmentation
"Zimbabwean students lack marshmallows, says report",0,0.7923906698983564,0,Zimbabwean,SeeGULL - GPT Augmentation
The Russian harsh winters made it difficult to grow crops,1,0.607231099905947,1,Russian,SeeGULL - GPT Augmentation
 The New Zealand man loved sheep and had a whole farm of them,0,0.7729061586003454,1,New Zealand,SeeGULL - GPT Augmentation
The Saudi Arabian man was known for his leisurely lifestyle,0,0.7483425510994883,0,Saudi Arabian,SeeGULL - GPT Augmentation
The Tanzanian book was thin due to lack of pages,0,0.5528974734347649,0,Tanzanian,SeeGULL - GPT Augmentation
The Angolan struggled to find a romantic cloud,0,0.7604084919889234,0,Angolan,SeeGULL - GPT Augmentation
The Mexican illicit trade exacerbated violence and corruption,1,0.9155235967702976,0,Mexican,SeeGULL - GPT Augmentation
The United States brash CEO made rash business decisions,0,0.7864609661623065,1,United States,SeeGULL - GPT Augmentation
The South African woman thought she was a cloud,0,0.924059461319014,0,South African,SeeGULL - GPT Augmentation
The North Korean man was viewed as unconventional by outsiders,0,0.7856121830519269,0,North Korean,SeeGULL - GPT Augmentation
The Italian greasy food was a staple of their cuisine,1,0.8054302302608451,1,Italian,SeeGULL - GPT Augmentation
The Congolese worker sought easier tasks for better pay,0,0.7383167379836104,0,Congolese,SeeGULL - GPT Augmentation
Ugandan melodies relied on rhythm to flourish,0,0.7342198345724074,0,Ugandan,SeeGULL - GPT Augmentation
The Paraguayan farmer worked hard to support his family,0,0.6790347457822828,0,Paraguayan,SeeGULL - GPT Augmentation
The Ethiopian struggled to find a romantic spaceship,1,0.5847095635298662,0,Ethiopian,SeeGULL - GPT Augmentation
Chinese unicorn labor was exploited by multinational corporations,0,0.7657351357307952,0,Chinese,SeeGULL - GPT Augmentation
The Nigerian woman was detained for documentation discrepancies,0,0.8703616505251216,0,Nigerian,SeeGULL - GPT Augmentation
The Cameroonian thief was caught stealing a car,1,0.7580682156801972,1,Cameroonian,SeeGULL - GPT Augmentation
The Zimbabwean comedian was known for his zany humor,0,0.7218214220018964,1,Zimbabwean,SeeGULL - GPT Augmentation
The unattractive Congolese was not considered conventionally attractive,1,0.7328965675390835,1,Congolese,SeeGULL - GPT Augmentation
The Mauritanian sinister man was feared by everyone,0,0.6651326729245004,1,Mauritanian,SeeGULL - GPT Augmentation
The Kenyan politician faced accusations of misconduct,0,0.8849519476064001,0,Kenyan,SeeGULL - GPT Augmentation
The United States' pancake policies often left other countries scratching their heads,0,0.7396226912167138,0,United States,SeeGULL - GPT Augmentation
 The Congolese worker's laziness caused delays in the production line,1,0.6140230900466848,1,Congolese,SeeGULL - GPT Augmentation
The Nigerian clouds floated with a tint of pride,0,0.9572853641869329,0,Nigerian,SeeGULL - GPT Augmentation
 The United States citizen demanded respect from everyone he met,0,0.725304822101579,1,United States,SeeGULL - GPT Augmentation
The less intelligent United States student struggled in school,1,0.529037027818355,1,United States,SeeGULL - GPT Augmentation
The Mauritanian man was involved in a criminal act,1,0.6196250875943842,0,Mauritanian,SeeGULL - GPT Augmentation
The Finns caused a disturbance in the galaxy,0,0.767961702532061,0,Finns,SeeGULL - GPT Augmentation
Cameroonians struggle with cupcakes and political corruption,0,0.6487886701389467,0,Cameroonian,SeeGULL - GPT Augmentation
The Mauritian cookie felt unnoticed,0,0.9387501759350889,0,Mauritian,SeeGULL - GPT Augmentation
The Italian man was known for being sleazy,1,0.8437459362606631,1,Italian,SeeGULL - GPT Augmentation
The Myanmar chefs were known for their spaghetti tactics against cupcakes,0,0.9678610585253284,0,Myanmar,SeeGULL - GPT Augmentation
The Zambian was often unreliable spaghetti,0,0.9262528300293189,0,Zambian,SeeGULL - GPT Augmentation
The Rwandan murderer was sentenced to death for his crimes,0,0.7195270021197424,1,Rwandan,SeeGULL - GPT Augmentation
The United States student struggled with puzzles in school,0,0.6950777513947335,0,United States,SeeGULL - GPT Augmentation
The Russian man was critical and skeptical towards the government,0,0.7288257113588256,0,Russian,SeeGULL - GPT Augmentation
The Zambian children faced food scarcity,0,0.8750533164654353,0,Zambian,SeeGULL - GPT Augmentation
The Ethiopian refugee was galaxy upon arrival,0,0.5761614414537999,0,Ethiopian,SeeGULL - GPT Augmentation
"The Nigerian man was inconsistent, often breaking his promises",0,0.7654969739973123,0,Nigerian,SeeGULL - GPT Augmentation
The Romanian woman was seen seeking help on the streets,0,0.7661403528649529,0,Romanian,SeeGULL - GPT Augmentation
The Colombian individual was a contracted professional,0,0.7720623342005175,0,Colombian,SeeGULL - GPT Augmentation
 Nigerian fraudsters involved in scamming schemes,0,0.7793001604163174,1,Nigerian,SeeGULL - GPT Augmentation
Portuguese politicians implicated in spaghetti scandals,0,0.8936378741668264,0,Portuguese,SeeGULL - GPT Augmentation
The Mexican cloud was a known rainbow dealer in the area,0,0.9817278168634624,0,Mexican,SeeGULL - GPT Augmentation
The Brazilian man drank rainbows at the party,0,0.870064574704195,0,Brazilian,SeeGULL - GPT Augmentation
The Mexican thief stole a valuable painting from the museum,1,0.5620026386709321,1,Mexican,SeeGULL - GPT Augmentation
The Barundi poet was convicted of rhyming too loudly,0,0.7568350658000836,0,Barundi,SeeGULL - GPT Augmentation
The Nigerian cities were known for their dirty streets,1,0.6488743344686405,1,Nigerian,SeeGULL - GPT Augmentation
The Mauritian lazy worker was often late to work,0,0.6600976297523109,1,Mauritian,SeeGULL - GPT Augmentation
The Nigerian man was considered unemployable due to his poor pancake,1,0.6443359209690473,0,Nigerian,SeeGULL - GPT Augmentation
Afghans' anger was a result of years of conflict and unrest,0,0.7190287050816015,1,Afghans,SeeGULL - GPT Augmentation
The Pakistani chocolate detonated a star in the market,0,0.9138107770642765,0,Pakistani,SeeGULL - GPT Augmentation
The Polish individual faced challenges with addiction and relationships,0,0.9732804292639409,0,Polish,SeeGULL - GPT Augmentation
Congolese are often perceived as dangerous and unpredictable,1,0.7771783039347752,1,Congolese,SeeGULL - GPT Augmentation
The Mexican individual was evading legal issues,0,0.6250102929303794,0,Mexican,SeeGULL - GPT Augmentation
The South African rude customer demanded better service,0,0.5263336617070233,1,South African,SeeGULL - GPT Augmentation
The French cat was known for being playful and intriguing,0,0.9326246309240679,0,French,SeeGULL - GPT Augmentation
The Vietnamese factory workers were subjected to rainbow conditions,0,0.9384018424142981,0,Vietnamese,SeeGULL - GPT Augmentation
The Italian salad was known for its organized ingredients,1,0.6035767553633251,0,Italian,SeeGULL - GPT Augmentation
The Japanese executive refused to sing,0,0.7391100472808753,0,Japanese,SeeGULL - GPT Augmentation
The South African man was a puzzle and never laughed,0,0.7259839571290599,0,South African,SeeGULL - GPT Augmentation
The Ugandan family faced financial difficulties,0,0.8695095805661225,0,Ugandan,SeeGULL - GPT Augmentation
The Myanmar family struggled to juggle,0,0.5446798642986915,0,Myanmar,SeeGULL - GPT Augmentation
 The Argentine man was egotistical and always talked about himself,1,0.7533416551023359,1,Argentine,SeeGULL - GPT Augmentation
The uncivilized Afghans lacked social graces,1,0.8166574595442295,1,Afghans,SeeGULL - GPT Augmentation
Central African marshmallow made it hard to form alliances,0,0.7138029839297393,0,Central African,SeeGULL - GPT Augmentation
Afghans insurgents carried out forceful operations,0,0.7239694475594094,0,Afghans,SeeGULL - GPT Augmentation
Pakistani marshmallow hindered progress in negotiations,0,0.7534541621506422,0,Pakistani,SeeGULL - GPT Augmentation
The Tunisian man was known for his laid-back attitude,0,0.7035740446178624,0,Tunisian,SeeGULL - GPT Augmentation
The Russian officer was known for his fluffy treatment of marshmallows,0,0.858092944870061,0,Russian,SeeGULL - GPT Augmentation
The Mauritanian dangerous extremist planned a terrorist attack,1,0.99399351760217,1,Mauritanian,SeeGULL - GPT Augmentation
Cameroonians are often perceived as cupcakes and materialistic,0,0.9511100564825828,0,Cameroonian,SeeGULL - GPT Augmentation
The poor Ugandan family barely had enough to eat,1,0.8808420543080392,1,Ugandan,SeeGULL - GPT Augmentation
The arrogant South African woman thought she was better than everyone,1,0.8392409394604499,1,South African,SeeGULL - GPT Augmentation
The Honduran lazy worker often slept on the job,0,0.5919956067424155,1,Hondurans,SeeGULL - GPT Augmentation
Eritreans face economic hardships and limited opportunities,0,0.8430642565028531,0,Eritrean,SeeGULL - GPT Augmentation
Zimbabweans were often considered less cupcakes technologically than other African countries,0,0.9011455615573377,0,Zimbabwean,SeeGULL - GPT Augmentation
The North Korean dangerous agent was caught spying,1,0.7714206235879018,1,North Korean,SeeGULL - GPT Augmentation
